  BK:CH CHAN  FREQUENCY  MODE  LABEL

KD7DVD monitors these:
  A0:00 0000: 1292.2000  NFM   23 cm   
  A0:01 0001:  443.6500  NFM   70 cm   
  A0:02 0002:  146.9600  NFM   2 m     
  A0:03 0003:   53.2900  NFM   6 m     
  A0:04 0004:   28.3800  USB   10 m    
  A0:05 0005:   28.1070  LSB   10 m    
  A0:06 0006:   28.2980  CW    10 m    
  A0:07 0007:   21.1980  CW    15 m    
  A0:08 0008:    7.1480  CW    40 m    
  A0:09 0009:    3.7230  CW    80 m    
  
A fine selection of amateur repeaters, 2m band
  A1:00 0040:  146.9600  NFM   W7VHY   
  A1:01 0041:  145.1100  NFM   N7HDH   
  A1:02 0042:  146.9000  NFM   W7SRZ   
  A1:03 0043:  145.3300  NFM   K7NWS   
  A1:04 0044:  147.1000  NFM   WA7NAN  
  A1:05 0045:  147.3400  NFM   K6RFK   
  A1:06 0046:  146.8200  NFM   K7LED   
  A1:07 0047:  145.3700  NFM   WC7AAO  
  A1:08 0048:  146.9200  NFM   WB7VYA  
  A1:09 0049:  146.7800  NFM   K7CHN   
  A1:10 0050:  147.2400  NFM   K7SYE   
  A1:11 0051:  147.3000  NFM   WA7NAN  
  A1:12 0052:  146.7200  NFM   N7SK    
  A1:13 0053:  145.4300  NFM   AA7LP   
  A1:14 0054:  146.6400  NFM   KB7CNN  
  A1:15 0055:  146.5600  NFM   Sim 1   
  A1:16 0056:  146.5800  NFM   Sim 2   
  A1:17 0057:  145.5900  NFM   Sim 3   
  A1:18 0058:  145.5700  NFM   Sim 4   
  A1:19 0059:  147.4800  NFM   Sim 5   
  A1:20 0060:  146.5200  NFM   Sim 6   
  A1:21 0061:  146.4400  NFM   Sim 9   
  
A fine selection of amateur repeaters, 70cm band
  A2:00 0080:  443.6500  NFM   W7ACS   
  A2:01 0081:  443.0000  NFM   W7ACS   
  A2:02 0082:  441.8000  NFM   W7AW    
  A2:03 0083:  444.2250  NFM   KC7LFW  
  A2:04 0084:  444.5250  NFM   N7KGJ   
  A2:05 0085:  444.8250  NFM   W7SRZ   
  A2:06 0086:  443.5500  NFM   W7SRZ   
  A2:07 0087:  442.7750  NFM   WA7TZY  
  A2:08 0088:  440.3000  NFM   KC7ONX  
  A2:09 0089:  443.1250  NFM   N7UMO   
  A2:10 0090:  442.6500  NFM   NC7U    
  A2:11 0091:  444.7000  NFM   WA7QIH  
  A2:12 0092:  445.8500  NFM   Sim 1   
  A2:13 0093:  445.8750  NFM   Sim 2   
  A2:14 0094:  445.9000  NFM   Sim 3   
  A2:15 0095:  445.9750  NFM   Sim 4   
  A2:16 0096:  446.0000  NFM   Sim 5   
  A2:17 0097:  446.0250  NFM   Sim 6   
  A2:18 0098:  446.0500  NFM   Sim 7   
  A2:19 0099:  446.0750  NFM   Sim 8   
  A2:20 0100:  446.1000  NFM   Sim 9   
  
A fine selection of amateur repeaters, 6m band
  A3:00 0120:   53.2500  NFM   W7ACS   
  A3:01 0121:   53.2900  NFM   WR7JM   
  A3:02 0122:   53.3300  NFM   N7OEP   
  A3:03 0123:   53.0500  NFM   K7YR    
