00048/0030	Police at SeaTac Airport
00080/0050	Harbor Patrol Police
00784/0310	Unknown Port of Sea?
00976/03D0	Port Of Seattle Mutual Aid
01616/0650	Unknown SDF?
01632/0660	SFD Resp 1
01648/0670	Sea Fire 1a Fire
01680/0690	Sea Fire 2a Fire
01712/06B0	Sea Fire 3a Ems
01744/06D0	Sea Fire 4a Disp
01776/06F0	Sea Fire 5a Ems
01808/0710	Sea Fire 6a Fire
01840/0730	Sea Fire 7a Tac
01872/0750	Sea Fire 8a Tac
01904/0770	Sea Fire 9a Tac Ct Only
01936/0790	Sea Fire 10a Tac Ct Only
01968/07B0	Sea Fire 11a Amb
02000/07D0	Sea Fire 12a Med Doc
02032/07F0	Sea Fire 13a Trauma Doc
02064/0810	SFD Tactical (A14)
02096/0830	Sea Fire 14a Dept
02128/0850	Sea Fire 16a Emer
02160/0870	Sea Fire 6c Fiu
02192/0890	Sea Fire 7c Admin
02224/08B0	Sea Fire Medair
03216/0c90	Unknown SPD?
03248/0CB0	SPD West (F6)
03280/0CD0	SPD North (F4)
03312/0CF0	SPD South (F3)
03344/0D10	SPD East (F5)
03376/0d30	Unknown SPD?
03408/0D50	SPD Data (F2)
03440/0D70	SPD Tac 1 (F7)
03472/0D90	SPD Tac 2
03504/0DB0	SPD Tac 3
03536/0DD0	SPD Tac 4
03568/0DF0	SPD Event 1
03600/0E10	SPD Emergency
03632/0E30	SPD East Tac
03664/0E50	SPD South Tac
03696/0E70	SPD North Tac
03728/0E90	SPD West Tac
03760/0EB0	SPD Inv Tac 1
03792/0ED0	SPD Inv Tac 2
03824/0EF0	SPD SPD Ctr 1
03856/0F10	SPD SPD Ctr 2
03888/0F30	SPD Cmd 1
03920/0F50	SPD Cmd 2
03952/0F70	SPD Cmd 3
03984/0F90	SPD Cmd 4
04016/0FB0	SPD Cmd 5
04048/0FD0	SPD Cmd 6
04112/1010	SPD Narc 2
04144/1030	SPD Narc 3
04176/1050	SPD Ntf
04240/1090	SPD Vice 2
04272/10B0	Vice 2
04304/10D0	SPD Cis 2
04368/1110	SPD Emer Rsp Team 2
04432/1150	SPD Hostage Neg 2
04464/1170	SPD Internal Invest
04640/1220	Unknown SPD?
04752/1290	SPD SPD Atg 2
04784/12B0	SPD Eoc SPD
04848/12F0	Seattle Center 1
04880/1310	Seattle Center 2
04912/1330	Seattle Ctr 3/Key Arena
04944/1350	Seattle Ctr 4/Key Arena
04976/1370	Seattle Center 5
05008/1390	Seattle Center 6
